# CH3CN cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 6.201508e-17 3.189424e-17 3.012084e-17
9.220000e+01 6.207152e-17 3.249548e-17 2.957604e-17
9.320000e+01 5.992660e-17 3.207752e-17 2.784909e-17
9.420000e+01 5.961748e-17 3.410915e-17 2.550833e-17
9.520000e+01 6.319219e-17 4.269724e-17 2.049495e-17
9.620000e+01 6.386701e-17 4.539119e-17 1.847582e-17
9.720000e+01 7.250846e-17 5.456397e-17 1.794450e-17
9.820000e+01 7.730732e-17 5.913269e-17 1.817463e-17
9.920000e+01 5.566566e-17 4.655968e-17 9.105978e-18
1.002000e+02 6.151869e-17 5.472362e-17 6.795077e-18
1.012000e+02 7.042099e-17 6.712680e-17 3.294194e-18
1.022000e+02 6.784456e-17 6.770974e-17 1.348218e-19
1.032000e+02 5.120748e-17 5.088192e-17 3.255591e-19
1.042000e+02 6.472007e-17 6.449538e-17 2.246837e-19
1.052000e+02 8.833358e-17 8.824535e-17 8.822461e-20
1.062000e+02 9.121347e-17 9.121347e-17 0.000000e+00
1.072000e+02 7.086378e-17 7.053883e-17 3.249450e-19
1.082000e+02 1.013235e-16 1.008216e-16 5.018348e-19
1.092000e+02 7.412320e-17 7.319065e-17 9.325443e-19
1.102000e+02 1.356612e-16 1.356612e-16 0.000000e+00
1.112000e+02 5.787678e-17 5.787678e-17 0.000000e+00
1.122000e+02 2.870364e-17 2.870364e-17 0.000000e+00
1.132000e+02 2.288614e-17 2.288614e-17 0.000000e+00
1.142000e+02 1.076610e-17 1.076610e-17 0.000000e+00
1.152000e+02 9.714424e-17 9.714424e-17 0.000000e+00
1.162000e+02 3.029728e-17 3.029728e-17 0.000000e+00
1.172000e+02 1.848142e-17 1.848142e-17 0.000000e+00
1.182000e+02 1.744723e-17 1.744723e-17 0.000000e+00
1.192000e+02 1.117553e-17 1.117553e-17 0.000000e+00
1.202000e+02 1.708097e-17 1.708097e-17 0.000000e+00
1.212000e+02 1.345341e-17 1.345341e-17 0.000000e+00
1.222000e+02 1.191035e-17 1.191035e-17 0.000000e+00
1.232000e+02 3.180496e-17 3.180496e-17 0.000000e+00
1.242000e+02 3.466205e-17 3.466205e-17 0.000000e+00
1.252000e+02 2.484036e-17 2.484036e-17 0.000000e+00
1.262000e+02 4.979446e-17 4.979446e-17 0.000000e+00
1.272000e+02 4.519508e-17 4.519508e-17 0.000000e+00
1.282000e+02 2.851720e-17 2.851720e-17 0.000000e+00
1.292000e+02 1.094492e-16 1.094492e-16 0.000000e+00
1.302000e+02 1.552231e-17 1.552231e-17 0.000000e+00
1.312000e+02 1.102926e-17 1.102926e-17 0.000000e+00
1.322000e+02 8.496783e-18 8.496783e-18 0.000000e+00
1.332000e+02 7.836981e-18 7.836981e-18 0.000000e+00
1.342000e+02 7.984759e-18 7.984759e-18 0.000000e+00
1.352000e+02 8.125026e-18 8.125026e-18 0.000000e+00
1.362000e+02 6.775013e-18 6.775013e-18 0.000000e+00
1.372000e+02 5.699140e-18 5.699140e-18 0.000000e+00
1.382000e+02 5.546703e-18 5.546703e-18 0.000000e+00
1.392000e+02 5.192052e-18 5.192052e-18 0.000000e+00
1.402000e+02 5.699676e-18 5.699676e-18 0.000000e+00
1.412000e+02 4.907062e-18 4.907062e-18 0.000000e+00
1.422000e+02 3.974441e-18 3.974441e-18 0.000000e+00
1.432000e+02 3.025795e-18 3.025795e-18 0.000000e+00
1.442000e+02 2.546103e-18 2.546103e-18 0.000000e+00
1.452000e+02 2.123977e-18 2.123977e-18 0.000000e+00
1.462000e+02 1.829035e-18 1.829035e-18 0.000000e+00
1.472000e+02 1.477314e-18 1.477314e-18 0.000000e+00
1.482000e+02 1.324886e-18 1.324886e-18 0.000000e+00
1.492000e+02 1.150569e-18 1.150569e-18 0.000000e+00
1.502000e+02 1.030202e-18 1.030202e-18 0.000000e+00
1.512000e+02 9.679336e-19 9.679336e-19 0.000000e+00
1.522000e+02 9.108480e-19 9.108480e-19 0.000000e+00
1.532000e+02 8.550372e-19 8.550372e-19 0.000000e+00
1.542000e+02 7.738215e-19 7.738215e-19 0.000000e+00
1.552000e+02 7.093717e-19 7.093717e-19 0.000000e+00
1.562000e+02 6.444465e-19 6.444465e-19 0.000000e+00
1.572000e+02 5.771596e-19 5.771596e-19 0.000000e+00
1.582000e+02 4.969462e-19 4.969462e-19 0.000000e+00
1.592000e+02 4.407414e-19 4.407414e-19 0.000000e+00
1.602000e+02 3.802255e-19 3.802255e-19 0.000000e+00
1.612000e+02 3.291321e-19 3.291321e-19 0.000000e+00
1.622000e+02 2.812835e-19 2.812835e-19 0.000000e+00
1.632000e+02 2.480245e-19 2.480245e-19 0.000000e+00
1.642000e+02 2.066205e-19 2.066205e-19 0.000000e+00
1.652000e+02 1.653496e-19 1.653496e-19 0.000000e+00
1.662000e+02 1.433550e-19 1.433550e-19 0.000000e+00
1.672000e+02 1.133848e-19 1.133848e-19 0.000000e+00
1.682000e+02 1.074078e-19 1.074078e-19 0.000000e+00
1.692000e+02 8.759795e-20 8.759795e-20 0.000000e+00
1.702000e+02 7.437333e-20 7.437333e-20 0.000000e+00
1.712000e+02 6.450221e-20 6.450221e-20 0.000000e+00
1.722000e+02 5.323406e-20 5.323406e-20 0.000000e+00
1.732000e+02 4.162693e-20 4.162693e-20 0.000000e+00
1.742000e+02 3.684468e-20 3.684468e-20 0.000000e+00
1.752000e+02 2.554953e-20 2.554953e-20 0.000000e+00
1.762000e+02 2.488045e-20 2.488045e-20 0.000000e+00
1.772000e+02 2.260769e-20 2.260769e-20 0.000000e+00
1.782000e+02 1.455811e-20 1.455811e-20 0.000000e+00
