# H2O cross sections
# #photoabsorption   -- Photoabsorption cross section (cm2)
# #photodissociation -- Photodissociation cross section (cm2)
# #photoionisation   -- Photoionisation cross section (cm2)
# #This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# #wavelength photoabsorption photodissociation photoionisation
9.120000e+01 2.021153e-17 1.259341e-17 7.618119e-18
9.220000e+01 2.141292e-17 1.356940e-17 7.843520e-18
9.320000e+01 2.344229e-17 1.535787e-17 8.084415e-18
9.420000e+01 2.188222e-17 1.437180e-17 7.510417e-18
9.520000e+01 1.865789e-17 1.216478e-17 6.493111e-18
9.620000e+01 1.589872e-17 1.009907e-17 5.799652e-18
9.720000e+01 1.385901e-17 8.566953e-18 5.292052e-18
9.820000e+01 1.244887e-17 9.457788e-18 2.991083e-18
9.920000e+01 1.327206e-17 1.327206e-17 0.000000e+00
1.002000e+02 1.598555e-17 1.598555e-17 0.000000e+00
1.012000e+02 1.797496e-17 1.797496e-17 0.000000e+00
1.022000e+02 1.220447e-17 1.220447e-17 0.000000e+00
1.032000e+02 5.328435e-18 5.328435e-18 0.000000e+00
1.042000e+02 6.756663e-18 6.756663e-18 0.000000e+00
1.052000e+02 1.561764e-17 1.561764e-17 0.000000e+00
1.062000e+02 7.435205e-19 7.435205e-19 0.000000e+00
1.072000e+02 6.943303e-19 6.943303e-19 0.000000e+00
1.082000e+02 1.241276e-18 1.241276e-18 0.000000e+00
1.092000e+02 3.204025e-18 3.204025e-18 0.000000e+00
1.102000e+02 8.518133e-19 8.518133e-19 0.000000e+00
1.112000e+02 1.232756e-17 1.232756e-17 0.000000e+00
1.122000e+02 1.215468e-17 1.215468e-17 0.000000e+00
1.132000e+02 2.762081e-18 2.762081e-18 0.000000e+00
1.142000e+02 1.681557e-18 1.681557e-18 0.000000e+00
1.152000e+02 5.248215e-18 5.248215e-18 0.000000e+00
1.162000e+02 2.063899e-18 2.063899e-18 0.000000e+00
1.172000e+02 9.337519e-18 9.337519e-18 0.000000e+00
1.182000e+02 2.737011e-18 2.737011e-18 0.000000e+00
1.192000e+02 1.118787e-17 1.118787e-17 0.000000e+00
1.202000e+02 5.679829e-18 5.679829e-18 0.000000e+00
1.212000e+02 7.662909e-18 7.662909e-18 0.000000e+00
1.222000e+02 2.160242e-17 2.160242e-17 0.000000e+00
1.232000e+02 2.886974e-18 2.886974e-18 0.000000e+00
1.242000e+02 1.032934e-17 1.032934e-17 0.000000e+00
1.252000e+02 6.768264e-18 6.768264e-18 0.000000e+00
1.262000e+02 7.599403e-18 7.599403e-18 0.000000e+00
1.272000e+02 8.274503e-18 8.274503e-18 0.000000e+00
1.282000e+02 8.915913e-18 8.915913e-18 0.000000e+00
1.292000e+02 8.257055e-18 8.257055e-18 0.000000e+00
1.302000e+02 7.200715e-18 7.200715e-18 0.000000e+00
1.312000e+02 6.546758e-18 6.546758e-18 0.000000e+00
1.322000e+02 6.946836e-18 6.946836e-18 0.000000e+00
1.332000e+02 5.473045e-18 5.473045e-18 0.000000e+00
1.342000e+02 4.163002e-18 4.163002e-18 0.000000e+00
1.352000e+02 3.561554e-18 3.561554e-18 0.000000e+00
1.362000e+02 2.505301e-18 2.505301e-18 0.000000e+00
1.372000e+02 1.893526e-18 1.893526e-18 0.000000e+00
1.382000e+02 1.577283e-18 1.577283e-18 0.000000e+00
1.392000e+02 1.345476e-18 1.345476e-18 0.000000e+00
1.402000e+02 8.117757e-19 8.117757e-19 0.000000e+00
1.412000e+02 8.409406e-19 8.409406e-19 0.000000e+00
1.422000e+02 6.208085e-19 6.208085e-19 0.000000e+00
1.432000e+02 6.046898e-19 6.046898e-19 0.000000e+00
1.442000e+02 5.878427e-19 5.878427e-19 0.000000e+00
1.452000e+02 6.027503e-19 6.027503e-19 0.000000e+00
1.462000e+02 6.825690e-19 6.825690e-19 0.000000e+00
1.472000e+02 7.865594e-19 7.865594e-19 0.000000e+00
1.482000e+02 9.245676e-19 9.245676e-19 0.000000e+00
1.492000e+02 1.095726e-18 1.095726e-18 0.000000e+00
1.502000e+02 1.280891e-18 1.280891e-18 0.000000e+00
1.512000e+02 1.502105e-18 1.502105e-18 0.000000e+00
1.522000e+02 1.745393e-18 1.745393e-18 0.000000e+00
1.532000e+02 2.006846e-18 2.006846e-18 0.000000e+00
1.542000e+02 2.294091e-18 2.294091e-18 0.000000e+00
1.552000e+02 2.604762e-18 2.604762e-18 0.000000e+00
1.562000e+02 2.932945e-18 2.932945e-18 0.000000e+00
1.572000e+02 3.262860e-18 3.262860e-18 0.000000e+00
1.582000e+02 3.598806e-18 3.598806e-18 0.000000e+00
1.592000e+02 3.947636e-18 3.947636e-18 0.000000e+00
1.602000e+02 4.296711e-18 4.296711e-18 0.000000e+00
1.612000e+02 4.612810e-18 4.612810e-18 0.000000e+00
1.622000e+02 4.887440e-18 4.887440e-18 0.000000e+00
1.632000e+02 5.136976e-18 5.136976e-18 0.000000e+00
1.642000e+02 5.376786e-18 5.376786e-18 0.000000e+00
1.652000e+02 5.567310e-18 5.567310e-18 0.000000e+00
1.662000e+02 5.657133e-18 5.657133e-18 0.000000e+00
1.672000e+02 5.642608e-18 5.642608e-18 0.000000e+00
1.682000e+02 5.590354e-18 5.590354e-18 0.000000e+00
1.692000e+02 5.540748e-18 5.540748e-18 0.000000e+00
1.702000e+02 5.448854e-18 5.448854e-18 0.000000e+00
1.712000e+02 5.217991e-18 5.217991e-18 0.000000e+00
1.722000e+02 4.810764e-18 4.810764e-18 0.000000e+00
1.732000e+02 4.327417e-18 4.327417e-18 0.000000e+00
1.742000e+02 3.885486e-18 3.885486e-18 0.000000e+00
1.752000e+02 3.519407e-18 3.519407e-18 0.000000e+00
1.762000e+02 3.145598e-18 3.145598e-18 0.000000e+00
1.772000e+02 2.671460e-18 2.671460e-18 0.000000e+00
1.782000e+02 2.066644e-18 2.066644e-18 0.000000e+00
1.792000e+02 1.441423e-18 1.441423e-18 0.000000e+00
1.802000e+02 9.179498e-19 9.179498e-19 0.000000e+00
1.812000e+02 5.558846e-19 5.558846e-19 0.000000e+00
1.822000e+02 3.279902e-19 3.279902e-19 0.000000e+00
1.832000e+02 1.933811e-19 1.933811e-19 0.000000e+00
1.842000e+02 1.168953e-19 1.168953e-19 0.000000e+00
1.852000e+02 7.092073e-20 7.092073e-20 0.000000e+00
1.862000e+02 4.401943e-20 4.401943e-20 0.000000e+00
1.872000e+02 2.812616e-20 2.812616e-20 0.000000e+00
1.882000e+02 1.793607e-20 1.793607e-20 0.000000e+00
1.892000e+02 1.139445e-20 1.139445e-20 0.000000e+00
1.902000e+02 8.171890e-21 8.171890e-21 0.000000e+00
1.912000e+02 5.299708e-21 5.299708e-21 0.000000e+00
1.922000e+02 3.560776e-21 3.560776e-21 0.000000e+00
1.932000e+02 3.136387e-21 3.136387e-21 0.000000e+00
1.942000e+02 2.837896e-21 2.837896e-21 0.000000e+00
1.952000e+02 2.609770e-21 2.609770e-21 0.000000e+00
1.962000e+02 2.381643e-21 2.381643e-21 0.000000e+00
1.972000e+02 2.153516e-21 2.153516e-21 0.000000e+00
1.982000e+02 1.925390e-21 1.925390e-21 0.000000e+00
1.992000e+02 1.697263e-21 1.697263e-21 0.000000e+00
2.002000e+02 1.469136e-21 1.469136e-21 0.000000e+00
2.012000e+02 1.241009e-21 1.241009e-21 0.000000e+00
2.022000e+02 1.012883e-21 1.012883e-21 0.000000e+00
2.032000e+02 7.847559e-22 7.847559e-22 0.000000e+00
2.042000e+02 5.566292e-22 5.566292e-22 0.000000e+00
2.052000e+02 3.285025e-22 3.285025e-22 0.000000e+00
2.062000e+02 1.003758e-22 1.003758e-22 0.000000e+00
